multiverse_id,mtgo_id,set,collector_number,rarity,name,mana_cost,cmc,type_line,artist,usd_price,usd_foil_price,eur_price,tix_price,image_uri,scryfall_uri
394486,56100,DTK,170,C,Aerie Bowmasters,{2}{G}{G},4,Creature — Hound Archer,Matt Stewart,0.05,0.17,0.05,0.04,https://img.scryfall.com/cards/large/en/dtk/170.jpg?1517813031,https://scryfall.com/card/dtk/170/aerie-bowmasters
378402,51669,BNG,30,U,Aerie Worshippers,{3}{U},4,Creature — Human Cleric,Mike Sass,0.06,0.21,0.07,0.01,https://img.scryfall.com/cards/large/en/bng/30.jpg?1517813031,https://scryfall.com/card/bng/30/aerie-worshippers
423669,62591,AER,2,U,Aeronaut Admiral,{3}{W},4,Creature — Human Pilot,E. M. Gist,0.05,0.11,0.14,0.01,https://img.scryfall.com/cards/large/front/f/f/ff15c06c-160d-4960-92d5-6f8e7b33f051.jpg?1543698254,https://scryfall.com/card/aer/2/aeronaut-admiral
417644,61675,KLD,71,U,Aetherborn Marauder,{3}{B},4,Creature — Aetherborn Rogue,Kieran Yanner,0.05,0.1,0.06,0.01,https://img.scryfall.com/cards/large/front/f/c/fce02ef8-1731-43a9-9bd0-9ec592e3883f.jpg?1543698770,https://scryfall.com/card/kld/71/aetherborn-marauder
25678,15338,7ED,172,U,Aether Flash,{2}{R}{R},4,Enchantment,Wayne England,0.41,18.96,0.26,0.11,https://img.scryfall.com/cards/large/en/7ed/172.jpg?1517813031,https://scryfall.com/card/7ed/172/aether-flash
417765,61805,KLD,192,R,Aetherflux Reservoir,{4},4,Artifact,Cliff Childs,2.76,9.3,1.25,0.02,https://img.scryfall.com/cards/large/front/9/6/96b6b2e1-c3e6-464c-8a13-b15deb34e862.jpg?1543699806,https://scryfall.com/card/kld/192/aetherflux-reservoir
423769,62767,AER,102,C,Aether Herder,{3}{G},4,Creature — Elf Artificer Druid,Victor Adame Minguez,0.04,0.13,0.02,0.01,https://img.scryfall.com/cards/large/front/e/8/e8744a31-451b-4349-8f62-e2392a72a154.jpg?1543699929,https://scryfall.com/card/aer/102/aether-herder
423670,62575,AER,3,C,Aether Inspector,{3}{W},4,Creature — Dwarf Artificer,Sidharth Chaturvedi,0.02,0.09,0.04,0.01,https://img.scryfall.com/cards/large/front/f/5/f5dcbe97-d582-464e-98e7-dd06d8652606.jpg?1543698272,https://scryfall.com/card/aer/3/aether-inspector
438606,65959,IMA,40,U,Aetherize,{3}{U},4,Instant,Ryan Barger,0.22,0.48,0.13,0.15,https://img.scryfall.com/cards/large/en/ima/40.jpg?1530591796,https://scryfall.com/card/ima/40/aetherize
451123,,C18,168,R,Aethermage's Touch,{2}{W}{U},4,Instant,Randy Gallegos,0.09,,0.09,,https://img.scryfall.com/cards/large/en/c18/168.jpg?1535504237,https://scryfall.com/card/c18/168/aethermages-touch
96924,23741,GPT,22,U,Aetherplasm,{2}{U}{U},4,Creature — Illusion,Nottsuo,0.3,1.31,0.11,0.01,https://img.scryfall.com/cards/large/en/gpt/22.jpg?1517813031,https://scryfall.com/card/gpt/22/aetherplasm
447138,68165,M19,2,U,Aethershield Artificer,{3}{W},4,Creature — Dwarf Artificer,Izzy,0.03,0.13,0.05,0.01,https://img.scryfall.com/cards/large/en/m19/2.jpg?1531450624,https://scryfall.com/card/m19/2/aethershield-artificer
74208,22048,SOK,1,U,Aether Shockwave,{3}{W},4,Instant,Stephen Tappin,0.17,0.48,0.1,0.01,https://img.scryfall.com/cards/large/en/sok/1.jpg?1517813031,https://scryfall.com/card/sok/1/aether-shockwave
12612,12759,UDS,76,U,Aether Sting,{3}{R},4,Enchantment,Pete Venters,0.17,2.42,0.04,0.02,https://img.scryfall.com/cards/large/en/uds/76.jpg?1517813031,https://scryfall.com/card/uds/76/aether-sting
417576,62093,KLD,3,R,Aetherstorm Roc,{2}{W}{W},4,Creature — Bird,Scott Murphy,0.1,0.28,0.11,0.01,https://img.scryfall.com/cards/large/front/7/9/79fb7541-7a27-40a5-aabd-fce26df03485.jpg?1543698248,https://scryfall.com/card/kld/3/aetherstorm-roc
426030,63123,MM3,205,C,Aethertow,{3}{W/U},4,Instant,Warren Mahy,0.03,0.09,0.02,0.04,https://img.scryfall.com/cards/large/en/mm3/205.jpg?1517813031,https://scryfall.com/card/mm3/205/aethertow
417766,61783,KLD,193,M,Aetherworks Marvel,{4},4,Legendary Artifact,James Paick,0.81,3.75,0.6,0.02,https://img.scryfall.com/cards/large/front/8/8/884f6948-3e03-48c6-8be2-6f2539386c9d.jpg?1543699813,https://scryfall.com/card/kld/193/aetherworks-marvel
262675,43329,DKA,81,U,Afflicted Deserter // Werewolf Ransacker,{3}{R},4,Creature — Human Werewolf // Creature — Werewolf,David Palumbo,0.12,0.32,,0.01,https://img.scryfall.com/cards/large/front/a/2/a2c044c0-3625-4bdf-9445-b462394cecae.jpg?1545407582,https://scryfall.com/card/dka/81/afflicted-deserter-werewolf-ransacker
43713,18832,SCG,1,R,Ageless Sentinels,{3}{W},4,Creature — Wall,Tony Szczudlo,0.2,0.03,0.14,0.01,https://img.scryfall.com/cards/large/en/scg/1.jpg?1517813031,https://scryfall.com/card/scg/1/ageless-sentinels
380366,52182,JOU,59,U,Agent of Erebos,{3}{B},4,Enchantment Creature — Zombie,Cyril Van Der Haegen,0.17,3.43,0.12,0.02,https://img.scryfall.com/cards/large/en/jou/59.jpg?1517813031,https://scryfall.com/card/jou/59/agent-of-erebos
383179,53548,M15,127,R,Aggressive Mining,{3}{R},4,Enchantment,Franz Vohwinkel,0.23,0.7,0.26,0.03,https://img.scryfall.com/cards/large/en/m15/127.jpg?1517813031,https://scryfall.com/card/m15/127/aggressive-mining
259268,42134,DDH,66,C,Agonizing Demise,{3}{B},4,Instant,Mark Brill,0.08,,0.11,0.07,https://img.scryfall.com/cards/large/en/ddh/66.jpg?1517813031,https://scryfall.com/card/ddh/66/agonizing-demise
135228,27386,10E,126,U,Agonizing Memories,{2}{B}{B},4,Sorcery,Adam Rex,0.1,0.28,0.04,0.01,https://img.scryfall.com/cards/large/en/10e/126.jpg?1517813031,https://scryfall.com/card/10e/126/agonizing-memories
426896,63990,AKH,194,U,Ahn-Crop Champion,{2}{G}{W},4,Creature — Human Warrior,Craig J Spearing,0.06,0.17,0.05,0.01,https://img.scryfall.com/cards/large/front/2/d/2ddda94a-4b2d-47b0-8d2c-3ad70a0d5584.jpg?1543676022,https://scryfall.com/card/akh/194/ahn-crop-champion
39889,17811,ONS,62,C,Airborne Aid,{3}{U},4,Sorcery,Bradley Williams,0.09,0.32,0.12,0.01,https://img.scryfall.com/cards/large/en/ons/62.jpg?1517813031,https://scryfall.com/card/ons/62/airborne-aid
447139,68167,M19,3,M,"Ajani, Adversary of Tyrants",{2}{W}{W},4,Legendary Planeswalker — Ajani,Victor Adame Minguez,11.17,15.71,10.2,3.52,https://img.scryfall.com/cards/large/en/m19/3.jpg?1531450639,https://scryfall.com/card/m19/3/ajani-adversary-of-tyrants
205957,37138,M11,1,M,Ajani Goldmane,{2}{W}{W},4,Legendary Planeswalker — Ajani,Aleksi Briclot,6.71,13.31,3.39,0.04,https://img.scryfall.com/cards/large/en/m11/1.jpg?1517813031,https://scryfall.com/card/m11/1/ajani-goldmane
425695,63028,AER,188,R,Ajani's Aid,{2}{G}{W},4,Enchantment,Terese Nielsen,0.16,,0.21,1.47,https://img.scryfall.com/cards/large/en/aer/188.jpg?1517813031,https://scryfall.com/card/aer/188/ajanis-aid
451016,,C18,61,R,Ajani's Chosen,{2}{W}{W},4,Creature — Cat Soldier,Wayne Reynolds,0.11,,0.15,,https://img.scryfall.com/cards/large/en/c18/61.jpg?1535502712,https://scryfall.com/card/c18/61/ajanis-chosen
450229,68097,M19,282,R,Ajani's Influence,{2}{W}{W},4,Sorcery,Sidharth Chaturvedi,0.4,,0.2,1.52,https://img.scryfall.com/cards/large/en/m19/282.jpg?1531451917,https://scryfall.com/card/m19/282/ajanis-influence
447140,68169,M19,4,R,Ajani's Last Stand,{2}{W}{W},4,Enchantment,Slawomir Maniak,0.12,0.38,0.11,0.01,https://img.scryfall.com/cards/large/en/m19/4.jpg?1531450654,https://scryfall.com/card/m19/4/ajanis-last-stand
383180,53504,M15,1,M,Ajani Steadfast,{3}{W},4,Legendary Planeswalker — Ajani,Chris Rahn,8.98,16.74,7.41,0.37,https://img.scryfall.com/cards/large/en/m15/1.jpg?1517813031,https://scryfall.com/card/m15/1/ajani-steadfast
78694,21237,CHK,153,R,"Akki Lavarunner // Tok-Tok, Volcano Born",{3}{R},4,Creature — Goblin Warrior // Legendary Creature — Goblin Shaman,Matt Cavotta,0.24,2.99,0.23,0.01,https://img.scryfall.com/cards/large/en/chk/153a.jpg?1517813031,https://scryfall.com/card/chk/153/akki-lavarunner-tok-tok-volcano-born
75399,21489,CHK,155,U,Akki Underminer,{3}{R},4,Creature — Goblin Rogue Shaman,Thomas M. Baxa,0.11,0.73,0.1,0.01,https://img.scryfall.com/cards/large/en/chk/155.jpg?1517813031,https://scryfall.com/card/chk/155/akki-underminer
401804,58643,BFZ,138,M,Akoum Firebird,{2}{R}{R},4,Creature — Phoenix,Chris Rahn,0.26,0.74,0.22,0.01,https://img.scryfall.com/cards/large/en/bfz/138.jpg?1517813031,https://scryfall.com/card/bfz/138/akoum-firebird
420858,,C16,241,R,Akroan Horse,{4},4,Artifact Creature — Horse,Seb McKinnon,0.2,,0.24,,https://img.scryfall.com/cards/large/en/c16/241.jpg?1517813031,https://scryfall.com/card/c16/241/akroan-horse
380370,51982,JOU,3,C,Akroan Mastiff,{3}{W},4,Creature — Hound,Zoltan Boros,0.02,0.08,0.02,0.01,https://img.scryfall.com/cards/large/en/jou/3.jpg?1517813031,https://scryfall.com/card/jou/3/akroan-mastiff
378374,51759,BNG,2,U,Akroan Phalanx,{3}{W},4,Creature — Human Soldier,Steve Prescott,0.05,0.18,0.03,0.01,https://img.scryfall.com/cards/large/en/bng/2.jpg?1517813031,https://scryfall.com/card/bng/2/akroan-phalanx
44747,18597,LGN,2,U,Akroma's Devoted,{3}{W},4,Creature — Human Cleric,Dave Dorman,0.1,0.53,0.05,0.04,https://img.scryfall.com/cards/large/en/lgn/2.jpg?1517813031,https://scryfall.com/card/lgn/2/akromas-devoted
74148,22002,SOK,61,R,"Akuta, Born of Ash",{2}{B}{B},4,Legendary Creature — Spirit,Ben Thompson,0.23,1.16,0.21,0.02,https://img.scryfall.com/cards/large/en/sok/61.jpg?1517813031,https://scryfall.com/card/sok/61/akuta-born-of-ash
386473,54264,KTK,4,C,Alabaster Kirin,{3}{W},4,Creature — Kirin,Igor Kieryluk,0.03,0.2,0.03,0.01,https://img.scryfall.com/cards/large/en/ktk/4.jpg?1517813031,https://scryfall.com/card/ktk/4/alabaster-kirin
243435,40118,DDG,18,U,Alaborn Cavalier,{2}{W}{W},4,Creature — Human Knight,Kev Walker,0.12,,0.03,1.5,https://img.scryfall.com/cards/large/en/ddg/18.jpg?1517813031,https://scryfall.com/card/ddg/18/alaborn-cavalier
391788,55470,FRF,60,C,Alesha's Vanguard,{3}{B},4,Creature — Orc Warrior,Torstein Nordstrand,0.02,0.13,0.03,0.01,https://img.scryfall.com/cards/large/en/frf/60.jpg?1517813031,https://scryfall.com/card/frf/60/aleshas-vanguard
397854,57090,MM2,137,U,Algae Gharial,{3}{G},4,Creature — Crocodile,Michael Ryan,0.09,0.12,0.06,0.01,https://img.scryfall.com/cards/large/en/mm2/137.jpg?1517813031,https://scryfall.com/card/mm2/137/algae-gharial
401807,58287,BFZ,222,R,Aligned Hedron Network,{4},4,Artifact,Richard Wright,0.12,0.34,0.12,0.01,https://img.scryfall.com/cards/large/en/bfz/222.jpg?1517813031,https://scryfall.com/card/bfz/222/aligned-hedron-network
407525,59491,OGW,15,U,Allied Reinforcements,{3}{W},4,Sorcery,Matt Stewart,0.08,0.24,0.12,0.01,https://img.scryfall.com/cards/large/en/ogw/15.jpg?1517813031,https://scryfall.com/card/ogw/15/allied-reinforcements
366402,47819,GTC,141,R,Alms Beast,{2}{W}{B},4,Creature — Beast,Dan Scott,0.11,0.39,0.1,0.01,https://img.scryfall.com/cards/large/en/gtc/141.jpg?1517813031,https://scryfall.com/card/gtc/141/alms-beast
433242,,C17,1,R,Alms Collector,{3}{W},4,Creature — Cat Cleric,Bram Sels,0.66,,0.84,,https://img.scryfall.com/cards/large/en/c17/1.jpg?1517813031,https://scryfall.com/card/c17/1/alms-collector
48383,20127,MRD,1,U,Altar's Light,{2}{W}{W},4,Instant,Daren Bader,0.08,0.49,0.04,0.04,https://img.scryfall.com/cards/large/en/mrd/1.jpg?1517813031,https://scryfall.com/card/mrd/1/altars-light
410005,59912,SOI,241,R,Altered Ego,{X}{2}{G}{U},4,Creature — Shapeshifter,Kev Walker,0.35,0.94,0.25,0.01,https://img.scryfall.com/cards/large/en/soi/241.jpg?1517813031,https://scryfall.com/card/soi/241/altered-ego
443098,67885,DOM,210,U,Amaranthine Wall,{4},4,Artifact Creature — Wall,Jason Felix,0.08,0.28,0.07,0.01,https://img.scryfall.com/cards/large/en/dom/210.jpg?1524792116,https://scryfall.com/card/dom/210/amaranthine-wall
438607,65961,IMA,41,C,Amass the Components,{3}{U},4,Sorcery,Matt Stewart,0.04,0.07,0.03,0.04,https://img.scryfall.com/cards/large/en/ima/41.jpg?1530591801,https://scryfall.com/card/ima/41/amass-the-components
442147,67230,A25,158,C,Ambassador Oak,{3}{G},4,Creature — Treefolk Warrior,Steve Prescott,0.02,0.09,0.02,0.02,https://img.scryfall.com/cards/large/en/a25/158.jpg?1521723763,https://scryfall.com/card/a25/158/ambassador-oak
15403,,6ED,272,R,Amber Prison,{4},4,Artifact,Donato Giancola,0.33,,0.26,,https://img.scryfall.com/cards/large/en/6ed/272.jpg?1517813031,https://scryfall.com/card/6ed/272/amber-prison
74317,,UNH,24,R,Ambiguity,{2}{U}{U},4,Enchantment,Stephen Daniele,0.73,8.09,0.45,,https://img.scryfall.com/cards/large/en/unh/24.jpg?1517813031,https://scryfall.com/card/unh/24/ambiguity
433027,,C17,95,U,Ambition's Cost,{3}{B},4,Sorcery,Zezhou Chen,0.13,,0.16,,https://img.scryfall.com/cards/large/en/c17/95.jpg?1517813031,https://scryfall.com/card/c17/95/ambitions-cost
2987,,HML,62,C,Ambush,{3}{R},4,Instant,Alan Rabinowitz,0.13,,0.05,,https://img.scryfall.com/cards/large/en/hml/62.jpg?1517813031,https://scryfall.com/card/hml/62/ambush
220218,41415,M12,43,C,Amphin Cutthroat,{3}{U},4,Creature — Salamander Rogue,Howard Lyon,0.04,0.15,0.03,0.04,https://img.scryfall.com/cards/large/en/m12/43.jpg?1517813031,https://scryfall.com/card/m12/43/amphin-cutthroat
383183,53722,M15,45,C,Amphin Pathmage,{3}{U},4,Creature — Salamander Wizard,Mark Winters,0.03,0.2,0.07,0.01,https://img.scryfall.com/cards/large/en/m15/45.jpg?1517813031,https://scryfall.com/card/m15/45/amphin-pathmage
457236,71184,RNA,92,R,Amplifire,{2}{R}{R},4,Creature — Elemental,Dan Scott,0.1,0.59,0.1,0.01,https://img.scryfall.com/cards/large/front/7/a/7a58c77f-7c15-44f4-8011-6046482a2d08.jpg?1549414360,https://scryfall.com/card/rna/92/amplifire
398603,57846,ORI,2,C,Ampryn Tactician,{2}{W}{W},4,Creature — Human Soldier,Cynthia Sheppard,0.03,0.01,0.03,0.01,https://img.scryfall.com/cards/large/en/ori/2.jpg?1517813031,https://scryfall.com/card/ori/2/ampryn-tactician
134753,26986,10E,187,C,Anaba Bodyguard,{3}{R},4,Creature — Minotaur,Greg Staples,0.1,0.24,0.04,0.02,https://img.scryfall.com/cards/large/en/10e/187.jpg?1517813031,https://scryfall.com/card/10e/187/anaba-bodyguard
82991,22871,9ED,172,C,Anaba Shaman,{3}{R},4,Creature — Minotaur Shaman,Simon Bisley,0.06,0.32,0.02,0.04,https://img.scryfall.com/cards/large/en/9ed/172.jpg?1517813031,https://scryfall.com/card/9ed/172/anaba-shaman
83276,22389,9ED,229,U,Anaconda,{3}{G},4,Creature — Snake,Andrew Robinson,0.23,0.47,0.1,0.01,https://img.scryfall.com/cards/large/en/9ed/229.jpg?1517813031,https://scryfall.com/card/9ed/229/anaconda
25951,16202,APC,75,R,Anavolver,{3}{G},4,Creature — Volver,Matt Cavotta,0.2,1.46,0.18,0.01,https://img.scryfall.com/cards/large/en/apc/75.jpg?1517813031,https://scryfall.com/card/apc/75/anavolver
394491,56316,DTK,234,C,Ancestral Statue,{4},4,Artifact Creature — Golem,Tomasz Jedruszek,0.11,3.45,0.09,0.01,https://img.scryfall.com/cards/large/en/dtk/234.jpg?1517813031,https://scryfall.com/card/dtk/234/ancestral-statue
442068,67072,A25,79,U,Ancient Craving,{3}{B},4,Sorcery,Rob Alexander,0.23,0.4,0.16,0.05,https://img.scryfall.com/cards/large/en/a25/79.jpg?1521725970,https://scryfall.com/card/a25/79/ancient-craving
446886,,CM2,150,U,Ancient Excavation,{2}{U}{B},4,Instant,James Paick,2.44,,0.14,,https://img.scryfall.com/cards/large/en/cm2/150.jpg?1534112276,https://scryfall.com/card/cm2/150/ancient-excavation
23069,14637,INV,136,C,Ancient Kavu,{3}{R},4,Creature — Kavu,Glen Angus,0.03,0.33,0.03,0.05,https://img.scryfall.com/cards/large/en/inv/136.jpg?1517813031,https://scryfall.com/card/inv/136/ancient-kavu
19149,15147,PLS,96,R,Ancient Spider,{2}{G}{W},4,Creature — Spider,Greg Staples,0.25,1.68,0.19,0.02,https://img.scryfall.com/cards/large/en/pls/96.jpg?1517813031,https://scryfall.com/card/pls/96/ancient-spider
21253,16052,APC,1,C,Angelfire Crusader,{3}{W},4,Creature — Human Soldier Knight,"Edward P. Beard, Jr.",0.08,0.26,0.03,0.02,https://img.scryfall.com/cards/large/en/apc/1.jpg?1517813031,https://scryfall.com/card/apc/1/angelfire-crusader
438573,65893,IMA,7,U,Angelic Accord,{3}{W},4,Enchantment,Michael C. Hayes,0.15,0.22,0.15,0.2,https://img.scryfall.com/cards/large/en/ima/7.jpg?1530591605,https://scryfall.com/card/ima/7/angelic-accord
394008,,DVD,19,U,Angelic Benediction,{3}{W},4,Enchantment,Michael Komarck,0.32,,,,https://img.scryfall.com/cards/large/en/dvd/19.jpg?1520561403,https://scryfall.com/card/dvd/19/angelic-benediction
220230,41427,M12,3,M,Angelic Destiny,{2}{W}{W},4,Enchantment — Aura,Jana Schirmer & Johannes Voss,8.37,31.62,5.62,0.2,https://img.scryfall.com/cards/large/en/m12/3.jpg?1517813031,https://scryfall.com/card/m12/3/angelic-destiny
457146,71004,RNA,2,U,Angelic Exaltation,{3}{W},4,Enchantment,John Severin Brassell,0.04,0.4,0.07,0.01,https://img.scryfall.com/cards/large/front/e/e/ee7b5ae5-0f6b-4f45-8597-4e6212d2ad0e.jpg?1549413849,https://scryfall.com/card/rna/2/angelic-exaltation
21258,13927,NEM,1,U,Angelic Favor,{3}{W},4,Instant,Paolo Parente,0.2,0.51,0.08,0.02,https://img.scryfall.com/cards/large/en/nem/1.jpg?1517813031,https://scryfall.com/card/nem/1/angelic-favor
389428,55127,C14,2,R,Angelic Field Marshal,{2}{W}{W},4,Creature — Angel,Scott Murphy,3.14,,0.83,0.66,https://img.scryfall.com/cards/large/en/c14/2.jpg?1530676760,https://scryfall.com/card/c14/2/angelic-field-marshal
430692,64490,HOU,3,R,Angel of Condemnation,{2}{W}{W},4,Creature — Angel,Slawomir Maniak,0.27,0.78,0.19,0.01,https://img.scryfall.com/cards/large/en/hou/3.jpg?1517813031,https://scryfall.com/card/hou/3/angel-of-condemnation
430222,,CMA,3,R,Angel of Finality,{3}{W},4,Creature — Angel,Howard Lyon,1.81,,0.97,,https://img.scryfall.com/cards/large/en/cma/3.jpg?1519868138,https://scryfall.com/card/cma/3/angel-of-finality
240120,44031,AVR,2,R,Angel of Jubilation,{1}{W}{W}{W},4,Creature — Angel,Terese Nielsen,3.65,10.68,2.51,0.01,https://img.scryfall.com/cards/large/en/avr/2.jpg?1517813031,https://scryfall.com/card/avr/2/angel-of-jubilation
259714,45306,M13,3,C,Angel's Mercy,{2}{W}{W},4,Instant,Andrew Robinson,0.08,0.15,0.02,0.02,https://img.scryfall.com/cards/large/en/m13/3.jpg?1517813031,https://scryfall.com/card/m13/3/angels-mercy
